title,price,imageUrl,pageUrl,rating,totalReview,source
Craftsman M215 159cc 21-Inch 3-in-1 High-Wheeled FWD Self-Propelled Gas Powered Lawn Mower with Bagger,$292.79,https://images-na.ssl-images-amazon.com/images/I/41XYwvAvKUL._SL160_.jpg,https://www.amazon.com/M215-159cc-21-Inch-High-Wheeled-Self-Propelled/dp/B07NW9JR3D,4.0,63.0,Amazon
Craftsman M105 140cc 21-Inch 3-in-1 Gas Powered Push Lawn Mower with Bagger,$229.00,https://images-na.ssl-images-amazon.com/images/I/41JutTAgERL._SL160_.jpg,https://www.amazon.com/Craftsman-M105-140cc-21-Inch-Powered/dp/B07NW8SP6H,4.0,69.0,Amazon
GreenWorks 20-Inch 12 Amp Corded Electric Lawn Mower 25022,$188.19,https://images-na.ssl-images-amazon.com/images/I/51acxmsF7AL._SL160_.jpg,https://www.amazon.com/GreenWorks-20-Inch-Corded-Electric-25022/dp/B002ZVOLXE,4.5,4268.0,Amazon
"Greenworks 16-Inch 40V Cordless Lawn Mower, 4.0 AH Battery Included 25322",$282.45,https://images-na.ssl-images-amazon.com/images/I/51u6tWdQRYL._SL160_.jpg,https://www.amazon.com/Greenworks-16-Inch-Cordless-Included-25322/dp/B00BBQVL5U,4.5,3090.0,Amazon
"American Lawn Mower Company 1204-14 14-Inch 4-Blade Push Reel Lawn Mower, Red",$73.11,https://images-na.ssl-images-amazon.com/images/I/31f0r%2BTws%2BL._SL160_.jpg,https://www.amazon.com/American-Lawn-Mower-Company-1204-14/dp/B00004RA3F,4.5,1620.0,Amazon
"PowerSmart DB2322S Lawn Mower, Black and red",$249.00,https://images-na.ssl-images-amazon.com/images/I/419Jv7XvGvL._SL160_.jpg,https://www.amazon.com/PowerSmart-DB2322S-Lawn-Mower-Black/dp/B07P714TVV,4.0,46.0,Amazon
Craftsman M105 140cc 21-Inch 3-in-1 Gas Powered Push Lawn Mower with Bagger,$229.00,https://images-na.ssl-images-amazon.com/images/I/41JutTAgERL._SL160_.jpg,https://www.amazon.com/Craftsman-M105-140cc-21-Inch-Powered/dp/B07NW8SP6H,4.0,69.0,Amazon
GreenWorks 20-Inch 12 Amp Corded Electric Lawn Mower 25022,$188.19,https://images-na.ssl-images-amazon.com/images/I/51acxmsF7AL._SL160_.jpg,https://www.amazon.com/GreenWorks-20-Inch-Corded-Electric-25022/dp/B002ZVOLXE,4.5,4268.0,Amazon
"Greenworks 16-Inch 40V Cordless Lawn Mower, 4.0 AH Battery Included 25322",$282.45,https://images-na.ssl-images-amazon.com/images/I/51u6tWdQRYL._SL160_.jpg,https://www.amazon.com/Greenworks-16-Inch-Cordless-Included-25322/dp/B00BBQVL5U,4.5,3090.0,Amazon
"American Lawn Mower Company 1204-14 14-Inch 4-Blade Push Reel Lawn Mower, Red",$73.11,https://images-na.ssl-images-amazon.com/images/I/31f0r%2BTws%2BL._SL160_.jpg,https://www.amazon.com/American-Lawn-Mower-Company-1204-14/dp/B00004RA3F,4.5,1620.0,Amazon
"PowerSmart DB2322S Lawn Mower, Black and red",$249.00,https://images-na.ssl-images-amazon.com/images/I/419Jv7XvGvL._SL160_.jpg,https://www.amazon.com/PowerSmart-DB2322S-Lawn-Mower-Black/dp/B07P714TVV,4.0,46.0,Amazon
"Greenworks 20-Inch 40V Twin Force Cordless Lawn Mower, 4.0 AH & 2.0 AH Batteries Included 25302",$348.00,https://images-na.ssl-images-amazon.com/images/I/51y4qnxMchL._SL160_.jpg,https://www.amazon.com/Greenworks-Cordless-Batteries-Included-25302/dp/B00GX9WNP2,4.0,2818.0,Amazon
GreenWorks 20-Inch 12 Amp Corded Electric Lawn Mower 25022,$188.19,https://images-na.ssl-images-amazon.com/images/I/51acxmsF7AL._SL160_.jpg,https://www.amazon.com/GreenWorks-20-Inch-Corded-Electric-25022/dp/B002ZVOLXE,4.5,4268.0,Amazon
"Greenworks 16-Inch 40V Cordless Lawn Mower, 4.0 AH Battery Included 25322",$282.45,https://images-na.ssl-images-amazon.com/images/I/51u6tWdQRYL._SL160_.jpg,https://www.amazon.com/Greenworks-16-Inch-Cordless-Included-25322/dp/B00BBQVL5U,4.5,3090.0,Amazon
"American Lawn Mower Company 1204-14 14-Inch 4-Blade Push Reel Lawn Mower, Red",$73.11,https://images-na.ssl-images-amazon.com/images/I/31f0r%2BTws%2BL._SL160_.jpg,https://www.amazon.com/American-Lawn-Mower-Company-1204-14/dp/B00004RA3F,4.5,1620.0,Amazon
"PowerSmart DB2322S Lawn Mower, Black and red",$249.00,https://images-na.ssl-images-amazon.com/images/I/419Jv7XvGvL._SL160_.jpg,https://www.amazon.com/PowerSmart-DB2322S-Lawn-Mower-Black/dp/B07P714TVV,4.0,46.0,Amazon
"PowerSmart DB2322S Lawn Mower, Black and red",$249.00,https://images-na.ssl-images-amazon.com/images/I/419Jv7XvGvL._SL160_.jpg,https://www.amazon.com/PowerSmart-DB2322S-Lawn-Mower-Black/dp/B07P714TVV,4.0,46.0,Amazon
"Greenworks 20-Inch 40V Twin Force Cordless Lawn Mower, 4.0 AH & 2.0 AH Batteries Included 25302",$348.00,https://images-na.ssl-images-amazon.com/images/I/51y4qnxMchL._SL160_.jpg,https://www.amazon.com/Greenworks-Cordless-Batteries-Included-25302/dp/B00GX9WNP2,4.0,2818.0,Amazon
"Greenworks 16-Inch 40V Cordless Lawn Mower, 4.0 AH Battery Included 25322",$282.45,https://images-na.ssl-images-amazon.com/images/I/51u6tWdQRYL._SL160_.jpg,https://www.amazon.com/Greenworks-16-Inch-Cordless-Included-25322/dp/B00BBQVL5U,4.5,3090.0,Amazon
"American Lawn Mower Company 1204-14 14-Inch 4-Blade Push Reel Lawn Mower, Red",$73.11,https://images-na.ssl-images-amazon.com/images/I/31f0r%2BTws%2BL._SL160_.jpg,https://www.amazon.com/American-Lawn-Mower-Company-1204-14/dp/B00004RA3F,4.5,1620.0,Amazon
"PowerSmart DB2322S Lawn Mower, Black and red",$249.00,https://images-na.ssl-images-amazon.com/images/I/419Jv7XvGvL._SL160_.jpg,https://www.amazon.com/PowerSmart-DB2322S-Lawn-Mower-Black/dp/B07P714TVV,4.0,46.0,Amazon
"PowerSmart DB2322S Lawn Mower, Black and red",$249.00,https://images-na.ssl-images-amazon.com/images/I/419Jv7XvGvL._SL160_.jpg,https://www.amazon.com/PowerSmart-DB2322S-Lawn-Mower-Black/dp/B07P714TVV,4.0,46.0,Amazon
"Greenworks 20-Inch 40V Twin Force Cordless Lawn Mower, 4.0 AH & 2.0 AH Batteries Included 25302",$348.00,https://images-na.ssl-images-amazon.com/images/I/51y4qnxMchL._SL160_.jpg,https://www.amazon.com/Greenworks-Cordless-Batteries-Included-25302/dp/B00GX9WNP2,4.0,2818.0,Amazon
"American Lawn Mower Company 1204-14 14-Inch 4-Blade Push Reel Lawn Mower, Red",$73.11,https://images-na.ssl-images-amazon.com/images/I/31f0r%2BTws%2BL._SL160_.jpg,https://www.amazon.com/American-Lawn-Mower-Company-1204-14/dp/B00004RA3F,4.5,1620.0,Amazon
"PowerSmart DB2322S Lawn Mower, Black and red",$249.00,https://images-na.ssl-images-amazon.com/images/I/419Jv7XvGvL._SL160_.jpg,https://www.amazon.com/PowerSmart-DB2322S-Lawn-Mower-Black/dp/B07P714TVV,4.0,46.0,Amazon
"PowerSmart DB2322S Lawn Mower, Black and red",$249.00,https://images-na.ssl-images-amazon.com/images/I/419Jv7XvGvL._SL160_.jpg,https://www.amazon.com/PowerSmart-DB2322S-Lawn-Mower-Black/dp/B07P714TVV,4.0,46.0,Amazon
"Greenworks 20-Inch 40V Twin Force Cordless Lawn Mower, 4.0 AH & 2.0 AH Batteries Included 25302",$348.00,https://images-na.ssl-images-amazon.com/images/I/51y4qnxMchL._SL160_.jpg,https://www.amazon.com/Greenworks-Cordless-Batteries-Included-25302/dp/B00GX9WNP2,4.0,2818.0,Amazon
BLACK+DECKER BESTA512CM Electric Lawn Mower,$85.36,https://images-na.ssl-images-amazon.com/images/I/31bQWm8JaGL._SL160_.jpg,https://www.amazon.com/BLACK-DECKER-BESTA512CM-Electric-Mower/dp/B078YYPWLY,4.0,497.0,Amazon
"PowerSmart DB2322S Lawn Mower, Black and red",$249.00,https://images-na.ssl-images-amazon.com/images/I/419Jv7XvGvL._SL160_.jpg,https://www.amazon.com/PowerSmart-DB2322S-Lawn-Mower-Black/dp/B07P714TVV,4.0,46.0,Amazon
"PowerSmart DB2322S Lawn Mower, Black and red",$249.00,https://images-na.ssl-images-amazon.com/images/I/419Jv7XvGvL._SL160_.jpg,https://www.amazon.com/PowerSmart-DB2322S-Lawn-Mower-Black/dp/B07P714TVV,4.0,46.0,Amazon
"Greenworks 20-Inch 40V Twin Force Cordless Lawn Mower, 4.0 AH & 2.0 AH Batteries Included 25302",$348.00,https://images-na.ssl-images-amazon.com/images/I/51y4qnxMchL._SL160_.jpg,https://www.amazon.com/Greenworks-Cordless-Batteries-Included-25302/dp/B00GX9WNP2,4.0,2818.0,Amazon
BLACK+DECKER BESTA512CM Electric Lawn Mower,$85.36,https://images-na.ssl-images-amazon.com/images/I/31bQWm8JaGL._SL160_.jpg,https://www.amazon.com/BLACK-DECKER-BESTA512CM-Electric-Mower/dp/B078YYPWLY,4.0,497.0,Amazon
"Lawn-Boy 17732 21-Inch 6.5 Gross Torque Kohler XTX OHV, 3-in-1 Discharge Rear Wheel Drive Self Propelled Lawn Mower",$270.08,https://images-na.ssl-images-amazon.com/images/I/5128p3CuDCL._SL160_.jpg,https://www.amazon.com/Lawn-Boy-17732-21-Inch-Discharge-Propelled/dp/B00H8GLL5M,4.0,711.0,Amazon
"PowerSmart DB2322S Lawn Mower, Black and red",$249.00,https://images-na.ssl-images-amazon.com/images/I/419Jv7XvGvL._SL160_.jpg,https://www.amazon.com/PowerSmart-DB2322S-Lawn-Mower-Black/dp/B07P714TVV,4.0,46.0,Amazon
"PowerSmart DB2322S Lawn Mower, Black and red",$249.00,https://images-na.ssl-images-amazon.com/images/I/419Jv7XvGvL._SL160_.jpg,https://www.amazon.com/PowerSmart-DB2322S-Lawn-Mower-Black/dp/B07P714TVV,4.0,46.0,Amazon
"Greenworks 20-Inch 40V Twin Force Cordless Lawn Mower, 4.0 AH & 2.0 AH Batteries Included 25302",$348.00,https://images-na.ssl-images-amazon.com/images/I/51y4qnxMchL._SL160_.jpg,https://www.amazon.com/Greenworks-Cordless-Batteries-Included-25302/dp/B00GX9WNP2,4.0,2818.0,Amazon
BLACK+DECKER BESTA512CM Electric Lawn Mower,$85.36,https://images-na.ssl-images-amazon.com/images/I/31bQWm8JaGL._SL160_.jpg,https://www.amazon.com/BLACK-DECKER-BESTA512CM-Electric-Mower/dp/B078YYPWLY,4.0,497.0,Amazon
"Lawn-Boy 17732 21-Inch 6.5 Gross Torque Kohler XTX OHV, 3-in-1 Discharge Rear Wheel Drive Self Propelled Lawn Mower",$270.08,https://images-na.ssl-images-amazon.com/images/I/5128p3CuDCL._SL160_.jpg,https://www.amazon.com/Lawn-Boy-17732-21-Inch-Discharge-Propelled/dp/B00H8GLL5M,4.0,711.0,Amazon
"Best Electric Manscaping Groin Hair Trimmer, Lawn Mower 2.0 by Manscaped, Replaceable Ceramic Blade Heads, Waterproof Wet/Dry Clippers, Rechargeable Built-In Battery, Ultimate Male Hygiene Razor",$59.99,https://images-na.ssl-images-amazon.com/images/I/41RdkpYPKJL._SL160_.jpg,https://www.amazon.com/Manscaping-Manscaped-Replaceable-Waterproof-Rechargeable/dp/B07DFSN143,3.5,1643.0,Amazon
"PowerSmart DB2322S Lawn Mower, Black and red",$249.00,https://images-na.ssl-images-amazon.com/images/I/419Jv7XvGvL._SL160_.jpg,https://www.amazon.com/PowerSmart-DB2322S-Lawn-Mower-Black/dp/B07P714TVV,4.0,46.0,Amazon
"PowerSmart DB2322S Lawn Mower, Black and red",$249.00,https://images-na.ssl-images-amazon.com/images/I/419Jv7XvGvL._SL160_.jpg,https://www.amazon.com/PowerSmart-DB2322S-Lawn-Mower-Black/dp/B07P714TVV,4.0,46.0,Amazon
"Greenworks 20-Inch 40V Twin Force Cordless Lawn Mower, 4.0 AH & 2.0 AH Batteries Included 25302",$348.00,https://images-na.ssl-images-amazon.com/images/I/51y4qnxMchL._SL160_.jpg,https://www.amazon.com/Greenworks-Cordless-Batteries-Included-25302/dp/B00GX9WNP2,4.0,2818.0,Amazon
BLACK+DECKER BESTA512CM Electric Lawn Mower,$85.36,https://images-na.ssl-images-amazon.com/images/I/31bQWm8JaGL._SL160_.jpg,https://www.amazon.com/BLACK-DECKER-BESTA512CM-Electric-Mower/dp/B078YYPWLY,4.0,497.0,Amazon
"Lawn-Boy 17732 21-Inch 6.5 Gross Torque Kohler XTX OHV, 3-in-1 Discharge Rear Wheel Drive Self Propelled Lawn Mower",$270.08,https://images-na.ssl-images-amazon.com/images/I/5128p3CuDCL._SL160_.jpg,https://www.amazon.com/Lawn-Boy-17732-21-Inch-Discharge-Propelled/dp/B00H8GLL5M,4.0,711.0,Amazon
"Best Electric Manscaping Groin Hair Trimmer, Lawn Mower 2.0 by Manscaped, Replaceable Ceramic Blade Heads, Waterproof Wet/Dry Clippers, Rechargeable Built-In Battery, Ultimate Male Hygiene Razor",$59.99,https://images-na.ssl-images-amazon.com/images/I/41RdkpYPKJL._SL160_.jpg,https://www.amazon.com/Manscaping-Manscaped-Replaceable-Waterproof-Rechargeable/dp/B07DFSN143,3.5,1643.0,Amazon
"Greenworks PRO 21-Inch 80V Cordless Lawn Mower, 4Ah Battery and Charger Included 2501202",$452.99,https://images-na.ssl-images-amazon.com/images/I/41k-1JJRWwL._SL160_.jpg,https://www.amazon.com/Greenworks-21-Inch-Cordless-Battery-Included/dp/B019VXKUDI,4.5,691.0,Amazon
"Greenworks 20-Inch 40V Twin Force Cordless Lawn Mower, 4.0 AH & 2.0 AH Batteries Included 25302",$348.00,https://images-na.ssl-images-amazon.com/images/I/51y4qnxMchL._SL160_.jpg,https://www.amazon.com/Greenworks-Cordless-Batteries-Included-25302/dp/B00GX9WNP2,4.0,2818.0,Amazon
BLACK+DECKER BESTA512CM Electric Lawn Mower,$85.36,https://images-na.ssl-images-amazon.com/images/I/31bQWm8JaGL._SL160_.jpg,https://www.amazon.com/BLACK-DECKER-BESTA512CM-Electric-Mower/dp/B078YYPWLY,4.0,497.0,Amazon
"Lawn-Boy 17732 21-Inch 6.5 Gross Torque Kohler XTX OHV, 3-in-1 Discharge Rear Wheel Drive Self Propelled Lawn Mower",$270.08,https://images-na.ssl-images-amazon.com/images/I/5128p3CuDCL._SL160_.jpg,https://www.amazon.com/Lawn-Boy-17732-21-Inch-Discharge-Propelled/dp/B00H8GLL5M,4.0,711.0,Amazon
"Craftsman M275 159cc 21-Inch 3-in-1 High-Wheeled Self-Propelled FWD Gas Powered Lawn Mower, with Bagger, Red",$377.08,https://images-na.ssl-images-amazon.com/images/I/418XhL3hp8L._SL160_.jpg,https://www.amazon.com/Craftsman-M275-21-Inch-High-Wheeled-Self-Propelled/dp/B07NW8XQL3,4.0,38.0,Amazon
"Snapper HD 48V MAX Electric Cordless Self-Propelled Lawnmower without battery and charger, 2691565, 20SPWM48",$143.91,https://images-na.ssl-images-amazon.com/images/I/41idzJobmtL._SL160_.jpg,https://www.amazon.com/Snapper-Electric-Self-Propelled-Lawnmower-2691565/dp/B07MSVNXW7,4.5,56.0,Amazon
Goplus 14-Inch 12 Amp Lawn Mower w/Grass Bag Folding Handle Electric Push Lawn Corded Mower (Green),$89.00,https://images-na.ssl-images-amazon.com/images/I/41Nbjk%2B81PL._SL160_.jpg,https://www.amazon.com/Goplus-14-Inch-Folding-Handle-Electric/dp/B07CP1KSBN,4.0,61.0,Amazon
"WORX WG779 40V Power Share 4.0 Ah 14"" Lawn Mower w/ Mulching & Intellicut (2x20V Batteries)",$249.99,https://images-na.ssl-images-amazon.com/images/I/41NIJtW0uSL._SL160_.jpg,https://www.amazon.com/WORX-WG779-Mulching-Intellicut-Batteries/dp/B07BY88V1Q,4.0,211.0,Amazon
"Greenworks 20-Inch 40V Twin Force Cordless Lawn Mower, 4.0 AH & 2.0 AH Batteries Included 25302",$348.00,https://images-na.ssl-images-amazon.com/images/I/51y4qnxMchL._SL160_.jpg,https://www.amazon.com/Greenworks-Cordless-Batteries-Included-25302/dp/B00GX9WNP2,4.0,2818.0,Amazon
BLACK+DECKER BESTA512CM Electric Lawn Mower,$85.36,https://images-na.ssl-images-amazon.com/images/I/31bQWm8JaGL._SL160_.jpg,https://www.amazon.com/BLACK-DECKER-BESTA512CM-Electric-Mower/dp/B078YYPWLY,4.0,497.0,Amazon
"Lawn-Boy 17732 21-Inch 6.5 Gross Torque Kohler XTX OHV, 3-in-1 Discharge Rear Wheel Drive Self Propelled Lawn Mower",$270.08,https://images-na.ssl-images-amazon.com/images/I/5128p3CuDCL._SL160_.jpg,https://www.amazon.com/Lawn-Boy-17732-21-Inch-Discharge-Propelled/dp/B00H8GLL5M,4.0,711.0,Amazon
"Craftsman M275 159cc 21-Inch 3-in-1 High-Wheeled Self-Propelled FWD Gas Powered Lawn Mower, with Bagger, Red",$377.08,https://images-na.ssl-images-amazon.com/images/I/418XhL3hp8L._SL160_.jpg,https://www.amazon.com/Craftsman-M275-21-Inch-High-Wheeled-Self-Propelled/dp/B07NW8XQL3,4.0,38.0,Amazon
"Snapper HD 48V MAX Electric Cordless Self-Propelled Lawnmower without battery and charger, 2691565, 20SPWM48",$143.91,https://images-na.ssl-images-amazon.com/images/I/41idzJobmtL._SL160_.jpg,https://www.amazon.com/Snapper-Electric-Self-Propelled-Lawnmower-2691565/dp/B07MSVNXW7,4.5,56.0,Amazon
Goplus 14-Inch 12 Amp Lawn Mower w/Grass Bag Folding Handle Electric Push Lawn Corded Mower (Green),$89.00,https://images-na.ssl-images-amazon.com/images/I/41Nbjk%2B81PL._SL160_.jpg,https://www.amazon.com/Goplus-14-Inch-Folding-Handle-Electric/dp/B07CP1KSBN,4.0,61.0,Amazon
"WORX WG779 40V Power Share 4.0 Ah 14"" Lawn Mower w/ Mulching & Intellicut (2x20V Batteries)",$249.99,https://images-na.ssl-images-amazon.com/images/I/41NIJtW0uSL._SL160_.jpg,https://www.amazon.com/WORX-WG779-Mulching-Intellicut-Batteries/dp/B07BY88V1Q,4.0,211.0,Amazon
"Greenworks PRO 21-Inch 80V Cordless Lawn Mower, 4Ah Battery and Charger Included 2501202",$452.99,https://images-na.ssl-images-amazon.com/images/I/41k-1JJRWwL._SL160_.jpg,https://www.amazon.com/Greenworks-21-Inch-Cordless-Battery-Included/dp/B019VXKUDI,4.5,691.0,Amazon
"Greenworks 20-Inch 40V Twin Force Cordless Lawn Mower, 4.0 AH & 2.0 AH Batteries Included 25302",$348.00,https://images-na.ssl-images-amazon.com/images/I/51y4qnxMchL._SL160_.jpg,https://www.amazon.com/Greenworks-Cordless-Batteries-Included-25302/dp/B00GX9WNP2,4.0,2818.0,Amazon
BLACK+DECKER BESTA512CM Electric Lawn Mower,$85.36,https://images-na.ssl-images-amazon.com/images/I/31bQWm8JaGL._SL160_.jpg,https://www.amazon.com/BLACK-DECKER-BESTA512CM-Electric-Mower/dp/B078YYPWLY,4.0,497.0,Amazon
"Lawn-Boy 17732 21-Inch 6.5 Gross Torque Kohler XTX OHV, 3-in-1 Discharge Rear Wheel Drive Self Propelled Lawn Mower",$270.08,https://images-na.ssl-images-amazon.com/images/I/5128p3CuDCL._SL160_.jpg,https://www.amazon.com/Lawn-Boy-17732-21-Inch-Discharge-Propelled/dp/B00H8GLL5M,4.0,711.0,Amazon
"Best Electric Manscaping Groin Hair Trimmer, Lawn Mower 2.0 by Manscaped, Replaceable Ceramic Blade Heads, Waterproof Wet/Dry Clippers, Rechargeable Built-In Battery, Ultimate Male Hygiene Razor",$59.99,https://images-na.ssl-images-amazon.com/images/I/41RdkpYPKJL._SL160_.jpg,https://www.amazon.com/Manscaping-Manscaped-Replaceable-Waterproof-Rechargeable/dp/B07DFSN143,3.5,1643.0,Amazon
"Greenworks PRO 21-Inch 80V Cordless Lawn Mower, 4Ah Battery and Charger Included 2501202",$452.99,https://images-na.ssl-images-amazon.com/images/I/41k-1JJRWwL._SL160_.jpg,https://www.amazon.com/Greenworks-21-Inch-Cordless-Battery-Included/dp/B019VXKUDI,4.5,691.0,Amazon
"Craftsman M275 159cc 21-Inch 3-in-1 High-Wheeled Self-Propelled FWD Gas Powered Lawn Mower, with Bagger, Red",$377.08,https://images-na.ssl-images-amazon.com/images/I/418XhL3hp8L._SL160_.jpg,https://www.amazon.com/Craftsman-M275-21-Inch-High-Wheeled-Self-Propelled/dp/B07NW8XQL3,4.0,38.0,Amazon
"Snapper HD 48V MAX Electric Cordless Self-Propelled Lawnmower without battery and charger, 2691565, 20SPWM48",$143.91,https://images-na.ssl-images-amazon.com/images/I/41idzJobmtL._SL160_.jpg,https://www.amazon.com/Snapper-Electric-Self-Propelled-Lawnmower-2691565/dp/B07MSVNXW7,4.5,56.0,Amazon
"Sun Joe MJ401E-PRO 14 inch 13 Amp Electric Lawn Mower w/Side Discharge Chute, 14""",$139.00,https://images-na.ssl-images-amazon.com/images/I/41vAiKX-uFL._SL160_.jpg,https://www.amazon.com/Sun-Joe-MJ401E-PRO-Electric-Discharge/dp/B01DTIC778,4.0,2897.0,Amazon
"Greenworks 20-Inch 40V Twin Force Cordless Lawn Mower, 4.0 AH & 2.0 AH Batteries Included 25302",$348.00,https://images-na.ssl-images-amazon.com/images/I/51y4qnxMchL._SL160_.jpg,https://www.amazon.com/Greenworks-Cordless-Batteries-Included-25302/dp/B00GX9WNP2,4.0,2818.0,Amazon
BLACK+DECKER BESTA512CM Electric Lawn Mower,$85.36,https://images-na.ssl-images-amazon.com/images/I/31bQWm8JaGL._SL160_.jpg,https://www.amazon.com/BLACK-DECKER-BESTA512CM-Electric-Mower/dp/B078YYPWLY,4.0,497.0,Amazon
"Lawn-Boy 17732 21-Inch 6.5 Gross Torque Kohler XTX OHV, 3-in-1 Discharge Rear Wheel Drive Self Propelled Lawn Mower",$270.08,https://images-na.ssl-images-amazon.com/images/I/5128p3CuDCL._SL160_.jpg,https://www.amazon.com/Lawn-Boy-17732-21-Inch-Discharge-Propelled/dp/B00H8GLL5M,4.0,711.0,Amazon
"Best Electric Manscaping Groin Hair Trimmer, Lawn Mower 2.0 by Manscaped, Replaceable Ceramic Blade Heads, Waterproof Wet/Dry Clippers, Rechargeable Built-In Battery, Ultimate Male Hygiene Razor",$59.99,https://images-na.ssl-images-amazon.com/images/I/41RdkpYPKJL._SL160_.jpg,https://www.amazon.com/Manscaping-Manscaped-Replaceable-Waterproof-Rechargeable/dp/B07DFSN143,3.5,1643.0,Amazon
"Greenworks PRO 21-Inch 80V Cordless Lawn Mower, 4Ah Battery and Charger Included 2501202",$452.99,https://images-na.ssl-images-amazon.com/images/I/41k-1JJRWwL._SL160_.jpg,https://www.amazon.com/Greenworks-21-Inch-Cordless-Battery-Included/dp/B019VXKUDI,4.5,691.0,Amazon
"Craftsman M275 159cc 21-Inch 3-in-1 High-Wheeled Self-Propelled FWD Gas Powered Lawn Mower, with Bagger, Red",$377.08,https://images-na.ssl-images-amazon.com/images/I/418XhL3hp8L._SL160_.jpg,https://www.amazon.com/Craftsman-M275-21-Inch-High-Wheeled-Self-Propelled/dp/B07NW8XQL3,4.0,38.0,Amazon
"Snapper HD 48V MAX Electric Cordless Self-Propelled Lawnmower without battery and charger, 2691565, 20SPWM48",$143.91,https://images-na.ssl-images-amazon.com/images/I/41idzJobmtL._SL160_.jpg,https://www.amazon.com/Snapper-Electric-Self-Propelled-Lawnmower-2691565/dp/B07MSVNXW7,4.5,56.0,Amazon
"Sun Joe MJ401E-PRO 14 inch 13 Amp Electric Lawn Mower w/Side Discharge Chute, 14""",$139.00,https://images-na.ssl-images-amazon.com/images/I/41vAiKX-uFL._SL160_.jpg,https://www.amazon.com/Sun-Joe-MJ401E-PRO-Electric-Discharge/dp/B01DTIC778,4.0,2897.0,Amazon
